Table  Time-based BUFR (0309052) at 100 hPa
                  BUFR Data                     
TIME    PRES.   HGT/MSL  TEMP.   RH     DEWP   W.D    W.S     8042      
Sec      mb      Meter     °C      %      °C    Deg.  Knots   Code Table
------------------------------------------------------------------------
   0  1008.8      45     26.1     93     24.9    360    0.0   145408
   5  1004.8      82     25.7     89     23.7    342    2.0        0
   7  1003.3      94     25.7     87     23.5    348    2.1     4096
  10  1001.3     111     25.4     87     23.1    357    2.3        0
  12  1000.0     123     25.3     87     23.1    003    2.5    65536
  15   998.1     140     25.2     87     22.9    010    2.7        0
  20   995.0     167     25.2     87     23.0    008    2.9     4096
  25   991.9     195     25.1     86     22.6    005    3.2        0
  28   990.1     211     25.2     85     22.6    004    3.4     2048
  30   988.9     221     25.1     85     22.5    002    3.6     8192
  35   986.0     247     25.2     84     22.3    357    4.1        0
  40   982.9     275     25.2     82     22.0    354    4.7        0
  43   980.9     292     25.4     81     22.1    352    5.0     8192
  44   980.1     300     25.4     81     22.0    351    5.1     2048
  45   979.5     306     25.2     81     21.7    351    5.2        0
  50   976.1     336     25.0     80     21.3    349    5.4        0
  55   973.3     362     24.9     78     21.0    348    5.5        0
  60   970.4     387     24.7     77     20.6    347    5.7        0
  65   967.6     413     24.6     77     20.4    346    5.8        0
  70   964.9     438     24.5     76     20.1    345    5.8        0
  73   963.2     453     24.6     75     20.1    345    5.8     4096
  75   962.2     462     24.4     76     19.9    344    5.8        0
  80   959.5     487     24.1     76     19.7    344    5.7        0
  85   956.7     513     23.9     76     19.5    343    5.7        0
  90   954.0     537     23.6     77     19.5    343    5.6        0
  95   951.3     563     23.4     78     19.4    343    5.5        0
 100   948.5     588     23.2     79     19.4    342    5.4        0
 102   947.2     600     23.2     80     19.6    342    5.4     2048
 105   945.7     614     22.9     81     19.5    342    5.3        0
 110   942.8     641     22.6     83     19.6    345    5.1        0
 115   940.0     667     22.3     85     19.7    348    4.8        0
 120   937.5     690     22.1     87     19.9    351    4.6        0
 125   935.0     713     21.8     89     20.0    355    4.4        0
 130   932.2     740     21.7     90     20.0    356    4.1        0
 135   929.3     767     21.7     88     19.7    357    3.9        0
 140   926.4     794     21.7     87     19.5    359    3.6        0
 142   925.0     808     21.7     86     19.3    359    3.5    65536
 145   923.6     820     21.7     85     19.0    360    3.3        0
 150   921.3     843     21.7     82     18.5    360    3.6        0
 155   918.7     867     21.6     81     18.1    359    3.9        0
 160   916.2     890     21.4     81     18.1    359    4.2        0
 162   915.2     900     21.5     82     18.3    359    4.3     2048
 165   913.7     915     21.2     82     18.1    359    4.5        0
 170   911.2     939     20.9     84     18.2    359    4.4        0
 175   908.9     960     20.7     86     18.3    360    4.3        0
 180   906.5     983     20.4     88     18.4    360    4.2        0
 185   904.0    1007     20.4     90     18.6    001    4.1     2048
 190   901.3    1033     19.9     91     18.3    003    3.7        0
 195   898.5    1060     19.6     92     18.3    005    3.4        0
 200   895.7    1087     19.4     92     18.1    008    3.0        0
 205   893.1    1112     19.2     92     18.0    012    2.7        0
 210   890.3    1139     19.0     92     17.8    009    2.4        0
 215   887.3    1168     18.9     92     17.5    005    2.2        0
 220   884.6    1195     18.7     91     17.3    001    2.0        0
 225   881.8    1222     18.8     92     17.5    355    1.8     2048
