Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2000",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2007",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Provincia,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distrito Nacional,146477517,142625516,150253603,157178040,164113919,168116765,177572905,181507159,177620272,182075000,162520537,167302820,1977364053
Santo Domingo,95596739,82141622,90300346,89479793,92827808,93968955,95139274,96796425,96037643,98484551,95816665,99871371,1126461192
Total,242074256,224767138,240553949,246657833,256941727,262085720,272712179,278303584,273657915,280559551,258337202,267174191,3103825245
Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2008",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Provincia,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distrito Nacional,151104443,154306189,158011196,165732736,183837225,187986774,186364686,203625246,175326310,184265701,171980865,184359971,2106901342
Santo Domingo,94388296,91966004,96972743,96342808,104661529,107765578,105488108,108730596,100563418,103155530,100357617,109382680,1219774907
Total,245492739,246272193,254983939,262075544,288498754,295752352,291852794,312355842,275889728,287421231,272338482,293742651,3326676249
Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2009",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Provincia,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distrito Nacional,167046493,162301084,160783640,175344236,176383787,195110508,201039496,201819133,198543708,204510692,194478149,193672997,2231033923
Santo Domingo,105994178,103425088,100056681,106531260,106942377,114079807,116027146,119066852,119181831,120602328,120756168,122731644,1355395360
Total,273040671,265726172,260840321,281875496,283326164,309190315,317066642,320885985,317725539,325113020,315234317,316404641,3586429283
Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
